ESTACIÓN,CÓDIGO,X=N,Y=E,MUNICIPIO,CUENCA,AÑO,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE
Pajas Blancas,2119022,973320,944710,Nilo,R. Paguey,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.5,190.0,153.6,76.2
Pajas Blancas,2119022,973320,944710,Nilo,R. Paguey,1996,295.9,127.2,247.5,149.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.2
Pajas Blancas,2119022,973320,944710,Nilo,R. Paguey,1997,294.2,76.9,160.2,296.3,144.1,134.3,20.1,3.6,75.3,174.0,182.0,110.1
Pajas Blancas,2119022,973320,944710,Nilo,R. Paguey,1998,144.3,118.0,209.1,438.3,292.6,30.6,35.2,30.7,103.2,385.9,105.4,235.7
Pajas Blancas,2119022,973320,944710,Nilo,R. Paguey,1999,78.3,256.6,83.0,339.3,108.2,236.2,17.6,23.7,322.9,337.9,234.4,199.5
Pajas Blancas,2119022,973320,944710,Nilo,R. Paguey,2000,112.6,304.8,201.8,322.7,338.9,199.5,37.5,74.8,218.3,244.3,190.9,115.5
Pajas Blancas,2119022,973320,944710,Nilo,R. Paguey,2001,6.8,132.7,226.7,31.4,198.1,15.3,21.6,38.3,106.0,35.8,61.7,45.3
Pajas Blancas,2119022,973320,944710,Nilo,R. Paguey,2002,22.0,56.5,261.3,51.2,264.9,312.5,51.2,6.8,161.9,262.6,280.2,257.5
Pajas Blancas,2119022,973320,944710,Nilo,R. Paguey,2003,22.2,176.0,345.9,655.3,69.6,0.0,37.6,33.1,222.1,675.0,427.3,180.2
Pajas Blancas,2119022,973320,944710,Nilo,R. Paguey,2004,90.3,276.5,70.5,454.7,321.1,53.9,59.0,16.5,461.1,507.4,402.4,532.3
Pajas Blancas,2119022,973320,944710,Nilo,R. Paguey,2005,162.8,258.6,206.2,183.1,657.2,108.9,109.7,53.3,54.5,670.7,722.7,303.7
Pajas Blancas,2119022,973320,944710,Nilo,R. Paguey,2006,312.5,236.0,670.7,753.4,474.0,186.4,50.5,66.9,48.4,288.0,508.2,288.7
Pajas Blancas,2119022,973320,944710,Nilo,R. Paguey,2007,202.4,65.1,261.3,579.6,697.4,94.8,60.5,125.9,10.7,675.2,538.7,439.9
Pajas Blancas,2119022,973320,944710,Nilo,R. Paguey,2008,399.3,318.8,336.3,234.0,439.3,196.6,64.8,294.4,184.9,367.3,41.0,1.8
Pajas Blancas,2119022,973320,944710,Nilo,R. Paguey,2009,158.1,0.0,323.8,239.5,227.0,203.5,26.5,27.6,89.8,106.4,186.8,140.9
